epoch,f1-score,iou_score,loss,lr,val_f1-score,val_iou_score,val_loss
0,0.24051842,0.18992846,0.8312288606509614,1e-04,0.6105543971061707,0.5644846558570862,0.728745698928833
1,0.37186325,0.3264575,0.7030874066078625,1e-04,0.8328366875648499,0.7962084412574768,0.6167914867401123
2,0.3861774,0.34480828,0.6681994915770265,1e-04,0.857596755027771,0.8240475654602051,0.5961376428604126
3,0.39362678,0.35363606,0.6543364740027406,1e-04,0.8765799403190613,0.8421933650970459,0.5978491306304932
4,0.39811838,0.3595675,0.6443848756555551,1e-04,0.8798633813858032,0.8478426337242126,0.5811054706573486
5,0.4006387,0.3628202,0.6400825354618768,1e-04,0.8905544281005859,0.8584556579589844,0.5772624611854553
6,0.40616143,0.3691949,0.6319178519919276,1e-04,0.8377437591552734,0.8065705895423889,0.5770856142044067
7,0.40808848,0.3716493,0.6301640121700665,1e-04,0.9048311710357666,0.8744160532951355,0.5722116231918335
8,0.41033652,0.37488157,0.6268385924851171,1e-04,0.8932167291641235,0.8627032041549683,0.5731360912322998
9,0.41367307,0.37867877,0.6217146373023621,1e-04,0.9083418846130371,0.8786606192588806,0.5736536383628845
10,0.41679427,0.38245773,0.6182834083279862,1e-04,0.9057027101516724,0.8756557106971741,0.5827824473381042
11,0.42119142,0.38697183,0.618327715907234,1e-04,0.9070205092430115,0.8773824572563171,0.5707942247390747
12,0.42881927,0.39479852,0.6136289376039474,1e-04,0.8982326984405518,0.868097722530365,0.5763376951217651
13,0.42479387,0.39245716,0.6089143351244088,1e-04,0.9163137078285217,0.8870043158531189,0.567764163017273
14,0.42723036,0.39429098,0.6134987395411482,1e-04,0.9078149795532227,0.878772497177124,0.5689476132392883
15,0.4311104,0.39801306,0.6108972685405621,1e-04,0.9119656085968018,0.8833655118942261,0.5663653016090393
16,0.4370083,0.40450498,0.6077369295370084,1e-04,0.9131525158882141,0.8843628168106079,0.5688517689704895
17,0.43682307,0.40381184,0.6103013521566177,1e-04,0.905650794506073,0.8750353455543518,0.5679957270622253
18,0.45574367,0.4237492,0.6058054541627439,1e-04,0.9107366800308228,0.8806302547454834,0.572729229927063
19,0.43485633,0.40264258,0.6076072997178513,1e-04,0.9068843722343445,0.8780395984649658,0.568329393863678
20,0.44265592,0.41086024,0.6054140171303917,1e-04,0.9097258448600769,0.8810086846351624,0.5744644999504089
21,0.45038554,0.41917765,0.60540373218707,5e-06,0.908997118473053,0.8805258274078369,0.5722110867500305
22,0.45130238,0.4201349,0.6030724246661884,5e-06,0.9072046279907227,0.8788450360298157,0.573142409324646
23,0.45194355,0.42098355,0.6018873679752167,5e-06,0.9132370352745056,0.8849583864212036,0.5719248652458191
24,0.4421862,0.41112745,0.6006187171981738,5e-06,0.9137716293334961,0.8853861689567566,0.5730215311050415
25,0.45476013,0.42367393,0.6005522644938752,5e-06,0.9141495227813721,0.885826051235199,0.5734279155731201
26,0.4474673,0.41656995,0.6011727536067414,1e-06,0.9113602638244629,0.8832916021347046,0.5712938904762268
27,0.44999596,0.41957375,0.5981803191736483,1e-06,0.9010661840438843,0.8727705478668213,0.5726669430732727
28,0.44517556,0.41416356,0.6005595547322649,1e-06,0.9108048677444458,0.8823748230934143,0.5733834505081177
29,0.44908786,0.41858187,0.5986777582107642,1e-06,0.9168349504470825,0.8886009454727173,0.5710979700088501
30,0.46290168,0.4323774,0.5979385189354991,1e-06,0.9057062268257141,0.8773823976516724,0.5725693106651306
31,0.4624676,0.4319077,0.5989234367498575,1e-06,0.9158815145492554,0.8876103758811951,0.5706629753112793
32,0.45440534,0.42337114,0.59963946277722,1e-06,0.9123176336288452,0.8841825723648071,0.5710025429725647
33,0.45098945,0.4205352,0.599133023248313,1e-06,0.9095673561096191,0.8814094066619873,0.5707791447639465
34,0.44404313,0.41303688,0.6022332824838047,1e-06,0.910452663898468,0.8822984099388123,0.5694345235824585
35,0.448349,0.41732866,0.601830317951239,1e-06,0.911479115486145,0.88329017162323,0.5705362558364868
36,0.45471245,0.42397174,0.5995125882922651,1e-06,0.9075548052787781,0.8794375061988831,0.5706256628036499
37,0.45037735,0.41979513,0.6007244327959542,1e-06,0.9142619967460632,0.8860003352165222,0.5705966949462891
38,0.45146802,0.42115346,0.6000452272046488,1e-06,0.908541738986969,0.8802801370620728,0.5710179209709167
39,0.46329203,0.43299675,0.5983641275201743,1e-06,0.912733793258667,0.8846823573112488,0.5703607201576233
40,0.47190243,0.44144875,0.5992855688634391,1e-06,0.9077468514442444,0.8795714974403381,0.5713667869567871
41,0.4477116,0.41743323,0.5980671091963308,1e-06,0.9131492972373962,0.8849241137504578,0.5725628733634949
42,0.46371162,0.43295416,0.5991376975473885,1e-06,0.9077165126800537,0.8795958757400513,0.5701066851615906
43,0.44913402,0.4180328,0.6001217233868071,1e-06,0.9094792604446411,0.88132244348526,0.5706236958503723
44,0.44819027,0.4175323,0.6014126573507779,1e-06,0.9162391424179077,0.8881935477256775,0.5690008401870728
45,0.45692956,0.42613304,0.6020582375435022,1e-06,0.9121406078338623,0.8839647173881531,0.5695417523384094
46,0.4483076,0.41754866,0.5999779790735092,1e-06,0.9098751544952393,0.8817984461784363,0.5703039169311523
47,0.45050484,0.41969427,0.59874372912672,1e-06,0.9068761467933655,0.8786770105361938,0.5707885026931763
48,0.4498408,0.4190245,0.6002960684962166,1e-06,0.915499746799469,0.8873915672302246,0.570055365562439
49,0.46125895,0.430683,0.5984259891433837,1e-06,0.9067028760910034,0.8786180019378662,0.5692879557609558
